sku,descricao,categoria,preco,estoque
SKU-0001,Item 1,banho,68.90,54
SKU-0002,Item 2,cozinha,111.90,102
SKU-0003,Item 3,banho,435.90,267
SKU-0004,Item 4,mesa,193.90,209
SKU-0005,Item 5,banho,92.90,20
SKU-0006,Item 6,decoração,264.90,106
SKU-0007,Item 7,cozinha,179.90,120
SKU-0008,Item 8,cama,16.90,45
SKU-0009,Item 9,cama,437.90,293
SKU-0010,Item 10,cozinha,86.90,46
SKU-0011,Item 11,decoração,48.90,51
SKU-0012,Item 12,banho,339.90,118
SKU-0013,Item 13,cozinha,161.90,135
SKU-0014,Item 14,cozinha,35.90,51
SKU-0015,Item 15,mesa,457.90,20
SKU-0016,Item 16,banho,194.90,160
SKU-0017,Item 17,cozinha,388.90,59
SKU-0018,Item 18,cama,445.90,23
SKU-0019,Item 19,cama,446.90,70
SKU-0020,Item 20,mesa,178.90,183
SKU-0021,Item 21,cozinha,499.90,137
SKU-0022,Item 22,cama,200.90,175
SKU-0023,Item 23,mesa,68.90,205
SKU-0024,Item 24,cozinha,243.90,139
SKU-0025,Item 25,cozinha,363.90,244
SKU-0026,Item 26,cozinha,342.90,85
SKU-0027,Item 27,cama,77.90,30
SKU-0028,Item 28,mesa,63.90,213
SKU-0029,Item 29,decoração,257.90,291
SKU-0030,Item 30,cozinha,102.90,194
SKU-0031,Item 31,banho,323.90,14
SKU-0032,Item 32,mesa,257.90,249
SKU-0033,Item 33,cama,464.90,210
SKU-0034,Item 34,cozinha,33.90,32
SKU-0035,Item 35,banho,345.90,160
SKU-0036,Item 36,cama,370.90,268
SKU-0037,Item 37,decoração,380.90,289
SKU-0038,Item 38,mesa,499.90,173
SKU-0039,Item 39,decoração,277.90,48
SKU-0040,Item 40,cozinha,348.90,127
SKU-0041,Item 41,cozinha,187.90,197
SKU-0042,Item 42,mesa,439.90,285
SKU-0043,Item 43,decoração,37.90,5
SKU-0044,Item 44,mesa,268.90,240
SKU-0045,Item 45,cozinha,455.90,84
SKU-0046,Item 46,cama,394.90,251
SKU-0047,Item 47,banho,133.90,169
SKU-0048,Item 48,banho,35.90,259
SKU-0049,Item 49,mesa,291.90,193
SKU-0050,Item 50,cozinha,428.90,120
