matricula_hash,setor,faixa_etaria,sexo,nota_lideranca,nota_ambiente
fe675fe7aaee830b6fed09b64e034f84dcbdaeb429d9cccd4ebb90e15af8dd71,Loja Centro,18-29,M,4,5
b281bc2c616cb3c3a097215fdc9397ae87e6e06b156cc34e656be7a1a9ce8839,Loja Centro,30-44,F,4,4
8c9a013ab70c0434313e3e881c310b9ff24aff1075255ceede3f2c239c231623,Loja Centro,30-44,F,4,1
75992a5ac67ff644d3063976c2effd10bdd93fcc109798e3d5c1acf2e530d01a,Loja Centro,18-29,M,4,1
7f861bcee185de001377d79e08af62e94b1e7718e2470e08520c917f8d953602,Loja Centro,45-59,F,1,5
478c4ffb1cbcea37956a748e6c19d8eadd0a47e86f5e308d26cad39453b5d1ab,Loja Centro,45-59,M,5,5
2c8b871e52d4e5f5db5ff84a82a45327e20df77edef961c4b6fa0e9c3d97ce5b,Loja Centro,18-29,M,3,3
9aaf689fbcdfe9f64a071f9cbe28ae44193fa218e72af24456f44bed64583b4d,Loja Centro,18-29,F,4,3
6ad4a6b1e5ea5569795e516d71909e0ce4809d9dc983d2c219144f684f816e12,Loja Centro,45-59,M,3,4
7a5df5ffa0dec2228d90b8d0a0f1b0767b748b0a41314c123075b8289e4e053f,Loja Centro,18-29,F,2,1
3dd9c0995d54c0abd51a90f1d57b1ce77bc885fc8a7cea52dcad3c2540dda5ee,Loja Centro,30-44,M,3,5
165940940a02a187e4463ff467090930038c5af8fc26107bf301e714f599a1da,Loja Centro,45-59,M,1,1
2ec42bc1f3e672fc1cf7fdcfc23246415dcf20f03c0d4a5bbbd92a185708f5b7,Loja Centro,18-29,M,2,4
df4865fca1f159162557359ef967f9502087f57527b0e030e139933e54f3061e,Loja Centro,18-29,M,5,2
9553627933b214db60798fe40d2b4f8497781d024f53d62dc1b12469b7d53784,Loja Centro,18-29,F,4,2
ef32cc5c2b7c62093d3ec4844b36a02b08bb83eee2efa6b6b5e85ad605790192,Loja Centro,30-44,F,3,1
b0ab628c9e14621846c58b4eb35060ef3885253a457d2d76136716d4850bad45,Loja Centro,30-44,F,5,1
9989a37538faecc495bbe774b30fb447a1582b8f1bc14ac88dfd84996a7b799a,Loja Centro,30-44,M,5,5
61ab550f4c85a975cd46f8606ede483d8ee720a76f627773de1bc1dd8ce5fb35,Loja Centro,18-29,M,1,5
f296867839c8befafed32b55a7c11ab4ad14387d2434b970a55237d537bc9353,Loja Centro,45-59,F,5,4
cdad86ca9450d1c143675a8436131cabaf55905c114fa4524bf6a9ec5662cad7,Loja Centro,45-59,M,5,2
f00f2e7bca65e9f8409fdb3bcddfa031664224255d7bd2f6b3de8ff11ababe20,Loja Centro,45-59,F,2,1
6629ddae3736e894e89cb4a1300a9d2c5c0fad418f8ea06a341b81f2a98bb491,Loja Norte,30-44,M,5,4
